Experiment Number,Sample Number,Projectile Mass (g),Powder Load (g),Primer Load (g),Projectile Diameter (in),Target Chamber Vacuum (mTorr),Breech Pressure (mV),Velocity (km/s),X2,Y,Gap,Bright,Dark,Ambient,Fsingle,Cpumps,Not Useful
19-4-025,1,12.398,9.025,1.023,0.4988,150,300,1.019,-152.56,1305,13,514,1519,2024,25,26,1
19-4-026,3,12.452,8.905,1.019,.49890/.49890/.49900/.49910,120,328,1.033,-152.362,1105,13,110,1115,1620,21,22,1
19-4-027,5,12.42,8.791,1.029,0.4989,135,304,1.006,-152.3,705,13,211,1216,1721,22,23,1
19-4-028,6,12.432,8.716,1.019,.49910/.49905/.49805/.49900,125,290.5,0.998,-151.412,54.99,13,110,1115,1620,21,22,0
19-4-029,9,12.413,8.725,1.015,.49900/.49890/.49890/.49900,130,305,1.008,-152.012,355,13,211,1216,1721,22,23,1
19-4-030,10,12.454,8.726,1.016,.44905/.49905/.49910/.49920,105,275,0.972,-151.91,755,13,312,1317,1822,23,24,1
19-4-031,13,12.45,8.797,1.016,.49945/.49925/.49930/.49970,112,360,1.034,-151.862,505,13,211,1216,1721,22,23,1
19-4-032,31,12.428,8.726,1.017,.49920/.49910/.49910/.49920,90,323,0.996,-151.66,505,13,211,1216,1721,22,23,1
19-4-033,14,12.435,8.735,1.017,.49895/.49910/.49910/.49930,110,288,0.973,-151.712,1055,13,211,1216,1721,22,23,0
19-4-034,21,12.432,8.749,1.025,.49915/.49915/.49915/.49910,120,285,0.962,-151.462,1055,13,514,1519,2024,25,26,0
19-4-035,22,12.423,8.782,1.03,0.499,117,-1,-1,-151.562,1054.99,13,212,1317,1822,23,24,1
19-4-036,17,6.45,7.715,1.027,0.4994,107,153,0.98,-151.712,554.989,13,211,1216,1721,22,23,0
19-4-037,23,6.222,7.814,1.037,.49920/.49910/.49910/.49920,115,158,0.998,-151.712,554,13,211,1216,1721,22,23,0
19-4-038,18,6.212,7.806,1.027,0.4992,130,157,0.99,-151.962,954.989,13,211,1216,1721,22,23,0
19-4-039,2,6.195,13.616,1.019,0.4992,130,645,1.612,-151.962,654.99,13,211,1216,1721,22,23,1
19-4-040,7,6.23,13.589,1.017,0.4992,125,633,1.607,-152.012,654.99,13,212,1317,1823,24,25,0
